host,group,mode,size_kib,unit,median_change_percent,percentile_bands_overlap,coarse_mean,refinement_mean,coarse_median,refinement_median,coarse_stddev,refinement_stddev,coarse_q1,refinement_q1,coarse_q3,refinement_q3,coarse_p5,refinement_p5,coarse_p95,refinement_p95,coarse_outliers,refinement_outliers,coarse_zeros,refinement_zeros
thunderbird,middle,sequential,1024.0,Arm counter ticks/access,0.0,True,0.03428699536132813,0.03433182885742188,0.0341796875,0.0341796875,0.001657818930175723,0.0016363887741978167,0.0341796875,0.0341796875,0.034423828125,0.034423828125,0.033935546875,0.033935546875,0.034912109375,0.03515625,64134,115300,0,0
thunderbird,middle,sequential,2048.0,Arm counter ticks/access,0.0,True,0.03417587719726563,0.0341776005859375,0.0341796875,0.0341796875,0.001592514456182687,0.0015820255782752373,0.0341796875,0.0341796875,0.0341796875,0.0341796875,0.033935546875,0.033935546875,0.0341796875,0.0341796875,105928,104767,0,0
thunderbird,middle,sequential,4096.0,Arm counter ticks/access,0.0,True,0.03390751171875,0.03392474926757812,0.033935546875,0.033935546875,0.0014343330104501645,0.001613117212065669,0.03369140625,0.03369140625,0.0341796875,0.0341796875,0.033447265625,0.033447265625,0.0341796875,0.0341796875,751,643,0,0
thunderbird,large,random,16384.0,Arm counter ticks/access,9.909031838856407,True,0.7522724248046875,0.8313651379394531,0.75146484375,0.825927734375,0.01065798451387107,0.07377995552751349,0.749267578125,0.807373046875,0.75439453125,0.840576171875,0.74658203125,0.75439453125,0.75927734375,0.960205078125,19343,251696,0,0
thunderbird,large,random,32768.0,Arm counter ticks/access,0.6640106241699861,True,1.2875056811523438,1.2973930908203124,1.286865234375,1.29541015625,0.02102862424945599,0.025131008793210168,1.27587890625,1.2822265625,1.2978515625,1.31005859375,1.2607421875,1.26513671875,1.315185546875,1.334228515625,11702,14383,0,0
thunderbird,large,random,65536.0,Arm counter ticks/access,-0.14666666666666162,True,1.8535353818359375,1.828877111328125,1.8310546875,1.828369140625,0.08014783968265499,0.021927114264861203,1.818359375,1.81689453125,1.845947265625,1.840087890625,1.801513671875,1.80078125,2.0751953125,1.858154296875,106259,11091,0,0
thunderbird,large,sequential,16384.0,Arm counter ticks/access,0.0,True,0.0337080009765625,0.03371048315429687,0.03369140625,0.03369140625,0.0018296346050861772,0.0016640794736235214,0.033447265625,0.033447265625,0.03369140625,0.03369140625,0.033447265625,0.033447265625,0.0341796875,0.0341796875,117108,121155,0,0
thunderbird,large,sequential,32768.0,Arm counter ticks/access,-0.7042253521126751,True,0.0346701396484375,0.03458348022460937,0.03466796875,0.034423828125,0.003969592412783105,0.001923491876926986,0.0341796875,0.0341796875,0.03515625,0.034912109375,0.03369140625,0.03369140625,0.035888671875,0.03564453125,5251,21209,0,0
thunderbird,large,sequential,65536.0,Arm counter ticks/access,0.0,True,0.035390612548828124,0.03540476806640625,0.035400390625,0.035400390625,0.0018862371143323036,0.0021470185446030737,0.034912109375,0.034912109375,0.035888671875,0.035888671875,0.034423828125,0.034423828125,0.03662109375,0.03662109375,3907,3119,0,0
skylark,small,random,16.0,TSC ticks/access,0.0,True,2.940817154296875,2.93730146484375,2.923828125,2.923828125,0.3941412462130498,0.384254222447988,2.923828125,2.923828125,2.9296875,2.9296875,2.923828125,2.923828125,2.9296875,2.9296875,19402,13481,0,0
skylark,small,random,32.0,TSC ticks/access,-0.5870841487279899,True,3.01073642578125,2.993847322265625,2.994140625,2.9765625,0.866357898434495,0.8686681981089298,2.982421875,2.96484375,3.005859375,2.98828125,2.96484375,2.94140625,3.0234375,3.01171875,23971,25145,0,0
skylark,small,random,64.0,TSC ticks/access,0.0,True,6.1420783828125,6.117944173828125,6.076171875,6.076171875,0.981072064072923,0.9632358093134399,6.05859375,6.05859375,6.099609375,6.099609375,6.029296875,6.052734375,6.228515625,6.10546875,64239,32071,0,0
skylark,small,sequential,16.0,TSC ticks/access,0.0,True,2.9572630078125,2.952495486328125,2.923828125,2.923828125,0.40920410124107853,0.40744098006884083,2.923828125,2.923828125,2.9296875,2.9296875,2.923828125,2.923828125,2.9296875,2.9296875,45461,36414,0,0
skylark,small,sequential,32.0,TSC ticks/access,0.0,True,2.9455419375,2.94143240625,2.9296875,2.9296875,0.3883299577040578,0.8650780237118073,2.9296875,2.9296875,2.9296875,2.9296875,2.9296875,2.9296875,2.935546875,2.935546875,130366,155159,0,0
skylark,small,sequential,64.0,TSC ticks/access,0.0,True,2.9456581640625,2.94326187890625,2.9296875,2.9296875,0.8639992307579594,0.8575591037831457,2.9296875,2.923828125,2.9296875,2.9296875,2.923828125,2.923828125,2.935546875,2.935546875,227161,18905,0,0
skylark,middle,random,256.0,TSC ticks/access,-0.21520803443328962,True,8.259427060546875,8.19283004296875,8.16796875,8.150390625,1.0733700046917276,1.2768974426275077,8.138671875,8.12109375,8.197265625,8.1796875,8.091796875,8.080078125,9.09375,8.23828125,65065,35245,0,0
skylark,middle,random,512.0,TSC ticks/access,3.34947538337369,True,14.68571441015625,15.106406279296875,14.51953125,15.005859375,1.5205681408638438,1.4577483929465944,14.42578125,14.900390625,14.625,15.12890625,14.314453125,14.771484375,16.01953125,15.76171875,95619,84075,0,0
skylark,middle,random,1024.0,TSC ticks/access,3.493788819875787,True,22.851532412109375,23.53589258203125,22.640625,23.431640625,2.0103157490871015,1.9348542240221676,22.517578125,23.326171875,22.8046875,23.548828125,22.37109375,23.14453125,24.193359375,24.4921875,93172,80161,0,0
skylark,middle,sequential,256.0,TSC ticks/access,0.0,True,2.95835129296875,2.941894921875,2.9296875,2.9296875,0.40395698650536316,0.8625779404202171,2.923828125,2.923828125,2.9296875,2.9296875,2.923828125,2.923828125,2.935546875,2.935546875,48953,18266,0,0
skylark,middle,sequential,512.0,TSC ticks/access,0.0,True,2.96141173828125,2.942277884765625,2.9296875,2.9296875,0.8728639832565216,0.8673659143187018,2.923828125,2.923828125,2.9296875,2.9296875,2.923828125,2.923828125,2.947265625,2.94140625,98616,78852,0,0
skylark,middle,sequential,1024.0,TSC ticks/access,0.0,True,2.9604114140625,2.938361150390625,2.9296875,2.9296875,0.8752466978073139,0.3866947701855018,2.923828125,2.923828125,2.9296875,2.9296875,2.923828125,2.923828125,2.947265625,2.94140625,119097,139379,0,0
skylark,large,random,8192.0,TSC ticks/access,0.0,True,27.077265890625,27.128727392578124,26.953125,26.953125,1.9770010793643475,21.639461873270527,26.888671875,26.888671875,27.017578125,27.017578125,26.818359375,26.818359375,28.0078125,27.984375,82975,73838,0,0
skylark,large,random,16384.0,TSC ticks/access,0.16410256410257507,True,28.93145661328125,28.987334830078126,28.564453125,28.611328125,2.424165940392993,2.376270455218649,28.318359375,28.353515625,29.0390625,29.173828125,28.048828125,28.072265625,30.978515625,31.177734375,105423,99711,0,0
