hostname,cpu_model,regime,size_kib,mode,event,raw_value,per_access
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,l1_resident,34.0,chase,L1D-read-access,641583480,1.253092734375
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,l1_resident,34.0,chase,L1D-read-miss,51448954,0.10048623828125
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,l1_resident,34.0,chase,LL-read-access,16137,3.1517578125e-05
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,l1_resident,34.0,chase,LL-read-miss,13687,2.6732421875e-05
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,l1_resident,34.0,chase,cache-misses,193852,0.0003786171875
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,l1_resident,34.0,chase,cycles,3008020240,5.87503953125
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,l1_resident,34.0,chase,instructions,1913021951,3.736370998046875
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,llc_sized,20480.0,chase,DTLB-read-miss,364883258,0.71266261328125
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,llc_sized,20480.0,chase,L1D-read-access,699549551,1.366307716796875
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,llc_sized,20480.0,chase,L1D-read-miss,799400873,1.561329830078125
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,llc_sized,20480.0,chase,LL-read-access,567878780,1.1091382421875
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,llc_sized,20480.0,chase,LL-read-miss,370489946,0.72361317578125
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,llc_sized,20480.0,chase,cache-misses,1123580911,2.194493966796875
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,llc_sized,20480.0,chase,cycles,131319991152,256.48435771875
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,llc_sized,20480.0,chase,instructions,1956827522,3.82192875390625
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,larger_than_llc,131072.0,chase,DTLB-read-miss,533403781,1.041804259765625
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,larger_than_llc,131072.0,chase,L1D-read-access,1534268327,2.996617826171875
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,larger_than_llc,131072.0,chase,L1D-read-miss,1114662415,2.177075029296875
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,larger_than_llc,131072.0,chase,LL-read-access,905571940,1.7686951953125
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,larger_than_llc,131072.0,chase,LL-read-miss,540650506,1.05595801953125
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,larger_than_llc,131072.0,chase,cache-misses,1654878749,3.232185056640625
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,larger_than_llc,131072.0,chase,cycles,191050671204,373.1458421953125
crux.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,larger_than_llc,131072.0,chase,instructions,3781564686,7.38586852734375
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,l1_resident,34.0,chase,DTLB-read-miss,334,6.5234375e-07
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,l1_resident,34.0,chase,L1D-read-access,630560552,1.231563578125
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,l1_resident,34.0,chase,L1D-read-miss,47952763,0.093657740234375
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,l1_resident,34.0,chase,LL-read-access,65139,0.000127224609375
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,l1_resident,34.0,chase,LL-read-miss,58511,0.000114279296875
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,l1_resident,34.0,chase,cache-misses,326071,0.000636857421875
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,l1_resident,34.0,chase,cycles,2934521250,5.73148681640625
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,l1_resident,34.0,chase,instructions,1877936896,3.6678455
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,llc_sized,20480.0,chase,DTLB-read-miss,365404731,0.713681115234375
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,llc_sized,20480.0,chase,L1D-read-access,697834802,1.36295859765625
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,llc_sized,20480.0,chase,L1D-read-miss,801403324,1.5652408671875
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,llc_sized,20480.0,chase,LL-read-access,554040776,1.082110890625
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,llc_sized,20480.0,chase,LL-read-miss,400157574,0.78155776171875
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,llc_sized,20480.0,chase,cache-misses,1207350976,2.358107375
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,llc_sized,20480.0,chase,cycles,122551750957,239.35888858789062
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,llc_sized,20480.0,chase,instructions,1957101982,3.82246480859375
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,larger_than_llc,131072.0,chase,DTLB-read-miss,533761199,1.042502341796875
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,larger_than_llc,131072.0,chase,L1D-read-access,1532195115,2.992568583984375
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,larger_than_llc,131072.0,chase,L1D-read-miss,1113249474,2.17431537890625
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,larger_than_llc,131072.0,chase,LL-read-access,905459254,1.76847510546875
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,larger_than_llc,131072.0,chase,LL-read-miss,548655879,1.071593513671875
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,larger_than_llc,131072.0,chase,cache-misses,1674407613,3.270327369140625
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,larger_than_llc,131072.0,chase,cycles,171021284882,334.02594703515626
ookay.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,larger_than_llc,131072.0,chase,instructions,3781651567,7.386038216796875
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,l1_resident,34.0,chase,DTLB-read-miss,348,6.796875e-07
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,l1_resident,34.0,chase,L1D-read-access,641848594,1.25361053515625
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,l1_resident,34.0,chase,L1D-read-miss,47678939,0.093122927734375
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,l1_resident,34.0,chase,LL-read-access,18197,3.5541015625e-05
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,l1_resident,34.0,chase,LL-read-miss,2509,4.900390625e-06
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,l1_resident,34.0,chase,cache-misses,194743,0.000380357421875
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,l1_resident,34.0,chase,cycles,2968871813,5.798577759765625
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,l1_resident,34.0,chase,instructions,1907713967,3.726003841796875
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,llc_sized,20480.0,chase,DTLB-read-miss,365578389,0.714020291015625
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,llc_sized,20480.0,chase,L1D-read-access,699829621,1.366854728515625
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,llc_sized,20480.0,chase,L1D-read-miss,800535209,1.563545330078125
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,llc_sized,20480.0,chase,LL-read-access,562243200,1.09813125
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,llc_sized,20480.0,chase,LL-read-miss,247756877,0.483900150390625
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,llc_sized,20480.0,chase,cache-misses,723744503,1.413563482421875
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,llc_sized,20480.0,chase,cycles,94907889555,185.36697178710938
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,llc_sized,20480.0,chase,instructions,1961510141,3.831074494140625
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,larger_than_llc,131072.0,chase,DTLB-read-miss,533689662,1.04236262109375
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,larger_than_llc,131072.0,chase,L1D-read-access,1533948564,2.9959932890625
upgrade.ece.ncsu.edu,model name	: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,larger_than_llc,131072.0,chase,L1D-read-miss,1115747387,2.179194115234375
